season,regime,constraint_satisfied,avg_cv,avg_ci_width
1,rank,1.0,0.5301145358005879,0.2957733425896217
2,rank,1.0,0.78890030876204,0.317743666419052
3,percent,1.0,0.6174784975124552,0.32603730946007925
4,percent,1.0,0.6373434101532617,0.2805995190658037
5,percent,1.0,0.5875267246880124,0.2577971841703486
6,percent,1.0,0.6478113176693356,0.27494878537579637
7,percent,1.0,0.634503046508608,0.2772865021278594
8,percent,1.0,0.6376338041300469,0.2505425381245634
9,percent,1.0,0.6386862202676514,0.2264656518477445
10,percent,1.0,0.6217039226342509,0.27625595387283675
11,percent,1.0,0.6080506913016657,0.2672256368622968
12,percent,1.0,0.6378394039135299,0.2814840908306912
13,percent,1.0,0.6094660250903623,0.2715354396975406
14,percent,1.0,0.6546352738612807,0.25882373954507587
15,percent,1.0,0.664069730967192,0.2671326356875622
16,percent,1.0,0.6737059388271079,0.2609929289666398
17,percent,1.0,0.6626118766394828,0.2630739773201622
18,percent,1.0,0.6881001125469991,0.281820403983769
19,percent,1.0,0.6295662486150594,0.2483054237366717
20,percent,1.0,0.6470797189452525,0.25583126386862703
21,percent,1.0,0.7054045904809235,0.2800990202251821
22,percent,1.0,0.6722563229565341,0.25815406244748124
23,percent,1.0,0.660854130783776,0.24951640248218132
24,percent,1.0,0.6324996075306129,0.25100018817501185
25,percent,1.0,0.6938780016253082,0.25000492480349173
26,percent,1.0,0.544113140826179,0.24323405846502208
27,percent,1.0,0.6378160741052231,0.23394080379547857
28,bottom2,1.0,0.9546299730714319,0.3180670545445775
29,bottom2,1.0,1.271452176994719,0.3418937316621593
30,bottom2,1.0,1.2416074445432959,0.31977097114250025
31,bottom2,1.0,1.1985668408448384,0.26155811223428155
32,bottom2,1.0,1.0044041537844655,0.2713624352199416
33,bottom2,1.0,1.0523527502928507,0.31932802694644535
34,bottom2,1.0,1.0362707627574013,0.29120961104292187
